#Parameters = {xrot=0; Er=1; alpha=0; phi=0; theta=0; x=11812.67}
#"Frequency / GHz"	"RCS (Cartesian) (0.0 0.0 100)(Abs) [pw] (xrot=0) [Magnitude in dB]"
#--------------------------------------------------------------------------------------
3.2230000000000	-44.928164079820
3.2420000000000	-44.844769846058
3.2610000000000	-44.685214304411
3.2800000000000	-44.478051687633
3.2990000000000	-44.283600495994
3.3180000000000	-44.149340543449
3.3370000000000	-44.080365681474
3.3560000000000	-44.037667367153
3.3750000000000	-43.963227694464
3.3940000000000	-43.820923702750
3.4130000000000	-43.623916738415
3.4320000000000	-43.422852296404
3.4510000000000	-43.267227285045
3.4700000000000	-43.173010462459
3.4890000000000	-43.114267303788
3.5080000000000	-43.040281502483
3.5270000000000	-42.910568916854
3.5460000000000	-42.725111850084
3.5650000000000	-42.523357720475
3.5840000000000	-42.353527394220
3.6030000000000	-42.239794501667
3.6220000000000	-42.168362122233
3.6410000000000	-42.097119646053
3.6600000000000	-41.984142461174
3.6790000000000	-41.818255138545
3.6980000000000	-41.626915784019
3.7170000000000	-41.454451883093
3.7360000000000	-41.330746213206
3.7550000000000	-41.252810441043
3.7740000000000	-41.187558477017
3.7930000000000	-41.093800359900
3.8120000000000	-40.951483341932
3.8310000000000	-40.776344142479
3.8500000000000	-40.607055675456
3.8690000000000	-40.476954361833
3.8880000000000	-40.392334135623
3.9070000000000	-40.329136692219
3.9260000000000	-40.248801086605
3.9450000000000	-40.125034223712
3.9640000000000	-39.963011509158
3.9830000000000	-39.794685260578
4.0020000000000	-39.654776856269
4.0210000000000	-39.557247680597
4.0400000000000	-39.486883828967
4.0590000000000	-39.409456717299
4.0780000000000	-39.295151400852
4.0970000000000	-39.140184945425
4.1160000000000	-38.969120747521
4.1350000000000	-38.816084852568
4.1540000000000	-38.701003438388
4.1730000000000	-38.617125520707
4.1920000000000	-38.535892212394
4.2110000000000	-38.426343196406
4.2300000000000	-38.277310782569
4.2490000000000	-38.105457413868
4.2680000000000	-37.942389297834
4.2870000000000	-37.812196061993
4.3060000000000	-37.715922408522
4.3250000000000	-37.631475344093
4.3440000000000	-37.528551304956
4.3630000000000	-37.389986363130
4.3820000000000	-37.224245574207
4.4010000000000	-37.058728725230
4.4200000000000	-36.919916099591
4.4390000000000	-36.815755583413
4.4580000000000	-36.730964712163
4.4770000000000	-36.637275665711
4.4960000000000	-36.512924876184
4.5150000000000	-36.358335701254
4.5340000000000	-36.195475621923
4.5530000000000	-36.051615933758
4.5720000000000	-35.940618736843
4.5910000000000	-35.854111548822
4.6100000000000	-35.767061306873
4.6290000000000	-35.654671668471
4.6480000000000	-35.509999042621
4.6670000000000	-35.348834892261
4.6860000000000	-35.197820609059
4.7050000000000	-35.075692279448
4.7240000000000	-34.980959694383
4.7430000000000	-34.892950684040
4.7620000000000	-34.785545486762
4.7810000000000	-34.645478068665
4.8000000000000	-34.481942894253
4.8190000000000	-34.319598610718
4.8380000000000	-34.180918839013
4.8570000000000	-34.071146437081
4.8760000000000	-33.974991922970
4.8950000000000	-33.866696856819
4.9140000000000	-33.727815017907
4.9330000000000	-33.560599167674
4.9520000000000	-33.386284325971
4.9710000000000	-33.229770079380
4.9900000000000	-33.102720698220
5.0090000000000	-32.996076173134
5.0280000000000	-32.885939919026
5.0470000000000	-32.749712742439
5.0660000000000	-32.582278859203
5.0850000000000	-32.399860575322
5.1040000000000	-32.228310110237
5.1230000000000	-32.085301665975
5.1420000000000	-31.968759943539
5.1610000000000	-31.858029419604
5.1800000000000	-31.727295284433
5.1990000000000	-31.563574929110
5.2180000000000	-31.376361517995
5.2370000000000	-31.190896273500
5.2560000000000	-31.030532469448
5.2750000000000	-30.901130152158
5.2940000000000	-30.786826040701
5.3130000000000	-30.659590005680
5.3320000000000	-30.497927007366
5.3510000000000	-30.302525833413
5.3700000000000	-30.096229417940
5.3890000000000	-29.908024686435
5.4080000000000	-29.753376854503
5.4270000000000	-29.623494800880
5.4460000000000	-29.489376096832
5.4650000000000	-29.319720351629
5.4840000000000	-29.102994931781
5.5030000000000	-28.857032125944
5.5220000000000	-28.617337233365
5.5410000000000	-28.413304331708
5.5600000000000	-28.248714980126
5.5790000000000	-28.097007280889
5.5980000000000	-27.915539819074
5.6170000000000	-27.675748426230
5.6360000000000	-27.391692433469
5.6550000000000	-27.124230933098
5.6740000000000	-26.959716611653
5.6930000000000	-26.984602828084
5.7120000000000	-27.271928876643
5.7310000000000	-27.878305775414
5.7500000000000	-28.840528237231
5.7690000000000	-30.153856693639
5.7880000000000	-31.695579249932
5.8070000000000	-33.061253861407
5.8260000000000	-33.572955803649
5.8450000000000	-33.017374732064
5.8640000000000	-31.964131680585
5.8830000000000	-30.943413865488
5.9020000000000	-30.137571938328
5.9210000000000	-29.538471760571
5.9400000000000	-29.071447015648
5.9590000000000	-28.655196712487
5.9780000000000	-28.238188796765
5.9970000000000	-27.817161478137
6.0160000000000	-27.431556981730
6.0350000000000	-27.141856110037
6.0540000000000	-27.009400849612
6.0730000000000	-27.086921081250
6.0920000000000	-27.417691715354
6.1110000000000	-28.037451939377
6.1300000000000	-28.973184112643
6.1490000000000	-30.229711523479
6.1680000000000	-31.742530978001
6.1870000000000	-33.260159773409
6.2060000000000	-34.228413962328
6.2250000000000	-34.152904341486
6.2440000000000	-33.272076841497
6.2630000000000	-32.169027519588
6.2820000000000	-31.164662129942
6.3010000000000	-30.332055134328
6.3200000000000	-29.644555561658
6.3390000000000	-29.055323384535
6.3580000000000	-28.530364021767
6.3770000000000	-28.057931288205
6.3960000000000	-27.643949875258
6.4150000000000	-27.301756314329
6.4340000000000	-27.043664504434
6.4530000000000	-26.877849294806
6.4720000000000	-26.809980231574
6.4910000000000	-26.847119956557
6.5100000000000	-27.001283486627
6.5290000000000	-27.290940262085
6.5480000000000	-27.740052925685
6.5670000000000	-28.375275677749
6.5860000000000	-29.222032370270
6.6050000000000	-30.299161707879
6.6240000000000	-31.609591142851
6.6430000000000	-33.120532631365
6.6620000000000	-34.721762958892
6.6810000000000	-36.161503079757
6.7000000000000	-37.047195667189
6.7190000000000	-37.097521851500
6.7380000000000	-36.433677271646
6.7570000000000	-35.404403800550
6.7760000000000	-34.281177059581
6.7950000000000	-33.203133900973
6.8140000000000	-32.229240114906
6.8330000000000	-31.377627611079
6.8520000000000	-30.644185526781
6.8710000000000	-30.012688572320
6.8900000000000	-29.462780092498
6.9090000000000	-28.976874171142
6.9280000000000	-28.544672022053
6.9470000000000	-28.163949750147
6.9660000000000	-27.837901073984
6.9850000000000	-27.571040003320
7.0040000000000	-27.366035554425
7.0230000000000	-27.222851744088
7.0420000000000	-27.140152254531
7.0610000000000	-27.117859273583
7.0800000000000	-27.159340089140
7.0990000000000	-27.272033092965
7.1180000000000	-27.466244688775
7.1370000000000	-27.752809320315
7.1560000000000	-28.140758246969
7.1750000000000	-28.635986543422
7.1940000000000	-29.241422546762
7.2130000000000	-29.958642661338
7.2320000000000	-30.790276820443
7.2510000000000	-31.741904053610
7.2700000000000	-32.821525191143
7.2890000000000	-34.034069994732
7.3080000000000	-35.367192162118
7.3270000000000	-36.762685971744
7.3460000000000	-38.071868677645
7.3650000000000	-39.030769972140
7.3840000000000	-39.365545031800
7.4030000000000	-39.027103512412
7.4220000000000	-38.228213168166
7.4410000000000	-37.225760257891
7.4600000000000	-36.185344444574
7.4790000000000	-35.189234577875
7.4980000000000	-34.274139747759
7.5170000000000	-33.453470580512
7.5360000000000	-32.726770959721
7.5550000000000	-32.084609845895
7.5740000000000	-31.513002838444
7.5930000000000	-30.997975424279
7.6120000000000	-30.529181486338
7.6310000000000	-30.101282461182
7.6500000000000	-29.712773365832
7.6690000000000	-29.363293800555
7.6880000000000	-29.051142441129
7.7070000000000	-28.772329378465
7.7260000000000	-28.521463270085
7.7450000000000	-28.293727168685
7.7640000000000	-28.086647348017
7.7830000000000	-27.900575267008
7.8020000000000	-27.737667941423
7.8210000000000	-27.600098175945
7.8400000000000	-27.488628058452
7.8590000000000	-27.402357105883
7.8780000000000	-27.339708734051
7.8970000000000	-27.300002687532
7.9160000000000	-27.284654255748
7.9350000000000	-27.297312217409
7.9540000000000	-27.342930611439
7.9730000000000	-27.426415245733
7.9920000000000	-27.551691372267
8.0110000000000	-27.721738464157
8.0300000000000	-27.939565425629
8.0490000000000	-28.209574167359
8.0680000000000	-28.538540734363
8.0870000000000	-28.935642066790
8.1060000000000	-29.411450740408
8.1250000000000	-29.976292467013
8.1440000000000	-30.638512413363
8.1630000000000	-31.402917862137
8.1820000000000	-32.268979654585
8.2010000000000	-33.227278611244
8.2200000000000	-34.251235649801
8.2390000000000	-35.280465454351
8.2580000000000	-36.197462114614
8.2770000000000	-36.822658907975
